kommune,lyn_treff,andel (%),lyn_per_år
Høyanger,5771,0.23729987203652717,288.55
Flekkefjord,5752,0.2365186040468037,287.6
Rollag,5751,0.23647748467892352,287.55
Etnedal,5727,0.2354906198497992,286.35
Snillfjord,5637,0.23178987674058282,281.85
Gjesdal,5538,0.22771905932044487,276.9
Åseral,5534,0.22755458184892416,276.7
Eidsberg,5527,0.2272667462737629,276.35
Hægebostad,5477,0.2252107778797538,273.85
Jevnaker,5422,0.22294921264634382,271.1
Vindafjord,5419,0.2228258545427033,270.95
Sande,5416,0.22270249643906276,270.8
Masfjorden,5345,0.21978302131956984,267.25
Vennesla,5341,0.21961854384804913,267.05
Rakkestad,5335,0.21937182764076804,266.75
Lærdal,5292,0.21760369482192024,264.6
Overhalla,5236,0.21530101022063006,261.8
Aurland,5231,0.21509541338122917,261.55
Sauherad,5195,0.21361511613754264,259.75
Siljan,5149,0.21172362521505428,257.45
Hole,5148,0.2116825058471741,257.4
Enebakk,5086,0.20913310503860288,254.3
Hamar,5027,0.20670706233367214,251.35
Hurum,4983,0.20489781014694416,249.15
Levanger,4957,0.20382870658205943,247.85
Tysvær,4895,0.2012793057734882,244.75
Røyrvik,4874,0.20041579904800438,243.7
Gol,4837,0.19889438243643767,241.85
Bø,4780,0.19655057846726734,239.0
Vestre Slidre,4727,0.19437125196961771,236.35
Lillehammer,4726,0.19433013260173754,236.3
Gloppen,4723,0.194206774498097,236.15
Ullensvang,4710,0.19367222271565462,235.5
Brønnøy,4703,0.19338438714049336,235.15
Samnanger,4670,0.19202744800044738,233.5
Flatanger,4624,0.19013595707795902,231.2
Namdalseid,4570,0.18791551121242922,228.5
Storfjord,4560,0.18750431753362742,228.0
Hemnes,4557,0.1873809594299869,227.85
Odda,4510,0.18544834913961833,225.5
Bykle,4493,0.18474931988565527,224.65
Høylandet,4478,0.18413252936745256,223.9
Modalen,4428,0.18207656097344346,221.4
Etne,4426,0.1819943222376831,221.3
Aure,4421,0.1817887253982822,221.05
Hof,4258,0.17508626843381261,212.9
Flora,4247,0.1746339553871306,212.35
Hobøl,4207,0.17298918067192337,210.35
Fet,4122,0.16949403440210795,206.1
Lyngdal,4122,0.16949403440210795,206.1
Ski,4105,0.16879500514814486,205.25
Bamble,4089,0.16813709526206194,204.45
Marnardal,4036,0.16595776876441234,201.8
Stryn,4032,0.1657932912928916,201.6
Lindås,4028,0.16562881382137087,201.4
Trøgstad,3978,0.16357284542736183,198.9
Bodø,3963,0.1629560549091591,198.15
Vik,3953,0.16254486123035727,197.65
Skjåk,3859,0.15867964064962023,192.95
Verran,3839,0.1578572532920166,191.95
Årdal,3814,0.15682926909501205,190.7
Gamvik,3810,0.1566647916234913,190.5
Inderøy,3736,0.15362195840035792,186.8
Fusa,3704,0.1523061386281921,185.2
Lund,3676,0.15115479632754703,183.8
Førde,3661,0.1505380058093443,183.05
Spydeberg,3590,0.1476185306898514,179.5
Re,3553,0.14609711407828468,177.65
Roan,3498,0.14383554884487473,174.9
Bremanger,3405,0.14001144763201784,170.25
Jølster,3392,0.13947689584957548,169.6
Sogndal,3385,0.13918906027441422,169.25
Iveland,3333,0.13705085314464477,166.65
Fosnes,3295,0.13548831716519788,164.75
Rissa,3280,0.13487152664699517,164.0
Drammen,3226,0.13265108078146537,161.3
Ulvik,3225,0.1326099614135852,161.25
Gaular,3213,0.132116528999023,160.65
Eidfjord,3187,0.13104742543413828,159.35
Sandnes,3168,0.13026615744441483,158.4
Osen,3125,0.12849802462556703,156.25
Leksvik,3109,0.12784011473948415,155.45
Gulen,3092,0.12714108548552105,154.6
