# kommunenummer: Offisielt kommunenummer
# kommune: Kommunenavn
# lyn_treff_justert: Estimert antall lyn innenfor landareal (2015-2025)
# lyn_per_år_justert: Årlig gjennomsnitt lyn innenfor landareal
# lyn_per_km2_per_år_justert: Lyntetthet per km² landareal per år
# andel (%): Andel av totale lyn i Norge (%)
kommunenummer,kommune,lyn_treff_justert,lyn_per_år_justert,lyn_per_km2_per_år_justert,andel (%)
1826,Aarborte - Hattfjelldal,15269.49337410784,1526.322510917594,0.5686004101244599,0.5609923881076084
1820,Alstahaug,474.13793886411156,47.39433009581739,0.2518831318867846,0.0541947031111951
5601,Alta,9870.257032930036,986.6205203277766,0.2563436378754467,0.43039565442310035
3428,Alvdal,8027.5724193832475,802.427702840649,0.8516984586749975,0.2953133347280319
4631,Alver,3394.4460087617194,339.3052558019206,0.4996028208818679,0.18071028886806237
1871,Andøy,289.4220514771817,28.930324111122225,0.044089006234756055,0.04526029818852183
3124,Aremark,5460.437193594457,545.8195634812193,1.7096396776333376,0.20078512462024184
4203,Arendal,3240.771127393513,323.944076157767,1.1989047970309659,0.4060926023494911
3203,Asker,7287.532738457112,728.4541140452818,1.934239967194928,0.3807968386178071
4645,Askvoll,565.7141004346242,56.54818696873194,0.17333308904098804,0.10195516399412756
4627,Askøy,343.47281551993916,34.3331816827197,0.3395962579893145,0.027612090933858562
1547,Aukra,71.35836921363635,7.132907595862254,0.11758832172539159,0.022391162954354015
1576,Aure,2699.379858866114,269.8271739055414,0.42076343236268304,0.1625473422351381
4641,Aurland,5044.6450384088275,504.25741660613687,0.3435721552958301,0.19232869197738234
3226,Aurskog-Høland,29189.428850568685,2917.7446326409995,2.5486937741448283,1.073305137871104
4625,Austevoll,381.96509374590727,38.18082936253219,0.3256916263971013,0.11423537487549741
4632,Austrheim,93.88780088471296,9.384925909453038,0.1631026400669628,0.009780048186959225
1554,Averøy,252.36192428972348,25.225832744067183,0.1435733223908206,0.03805394689286766
5532,Balsfjord,2623.4776319601874,262.24006706991196,0.17517823570625854,0.11221318446090058
4012,Bamble,4770.569384475009,476.8611022658722,1.5666637172806104,0.21402128006123927
5520,Bardu,6757.173098314398,675.4399217732167,0.2498030325838761,0.2483985171093854
1839,Beiarn,2080.784195404208,207.99300147000184,0.17016387125197524,0.0775050435267295
4601,Bergen,5561.065982047938,555.8783114239214,1.196003079788118,0.25236936374168467
5630,Berlevåg,1102.857600788313,110.24048677830632,0.0982736985106629,0.0886822414546829
1811,Bindal,4881.513441868506,487.95095365147,0.385405983596065,0.2698337355041118
4216,Birkenes,9074.155758640576,907.0430735751149,1.4231251938858964,0.33465413006655215
1114,Bjerkreim,6321.684281708117,631.9089173218089,0.9713456572466511,0.23372844482894656
4624,Bjørnafjorden,4137.398946602877,413.5700506969624,0.7993236387649062,0.22255124690099318
1804,Bodø,1515.333514609615,151.47114565165896,0.10855812058457605,0.19258606166651288
1145,Bokn,362.6170197125336,36.24681621510752,0.768755381020308,0.05367996373293409
4648,Bremanger,1895.0098337763718,189.42319151253963,0.22736603552014073,0.16251057513669087
1813,Brønnøy,2759.6689370799645,275.8536068058175,0.26371481392103235,0.203542657003783
4220,Bygland,9544.699213443833,954.078102821664,0.7273378129977466,0.35219203602587373
4222,Bykle,4475.137423393829,447.33003390656694,0.30490766403555786,0.1651945733233376
5632,Båtsfjord,700.0882019897632,69.98008094602108,0.048762529228232536,0.050848897152498525
3201,Bærum,5176.750125494045,517.462502281527,2.6911925435902173,0.21468308783328915
1867,Bø,80.87237561187312,8.083917677130994,0.0327655547873338,0.02198672487143465
4613,Bømlo,938.6168360727833,93.82315253847402,0.3805132519709373,0.23358137643515772
5628,Deatnu - Tana,8387.67167022406,838.4228455252702,0.20695257931450559,0.33391878809760783
5512,Dielddanuorri - Tjeldsund,518.1066070490731,51.78939196077557,0.06359130163035273,0.023972148187584266
3431,Dovre,11381.667213656745,1137.6994936475442,0.8338582313193862,0.41899785390446365
3301,Drammen,6751.08945406549,674.8318070874166,2.1247183876056064,0.2700175709963479
4016,Drangedal,17406.005862500155,1739.8860539896502,1.6371237934733294,0.6413284982147736
5528,Dyrøy,433.42091928641355,43.3242996084736,0.15009804465241686,0.025920804405286667
1827,Dønna,316.14456789331615,31.601478769303156,0.16410385194632163,0.045811804665230056
4619,Eidfjord,3136.949422346429,313.5661676278142,0.20928967830775724,0.118095920212455
3416,Eidskog,17529.423203793904,1752.2227217257043,2.736180642617318,0.6444169344843397
3240,Eidsvoll,12316.628090527302,1231.1572003462225,2.6970080403650076,0.45297065286969046
1101,Eigersund,3129.8760783303837,312.85912359336965,0.7233736961696408,0.2841729038985258
3420,Elverum,21730.548170582937,2172.1627584306016,1.7670347103814468,0.7989490492579848
3220,Enebakk,5084.032301468511,508.19452602938526,2.18503106900587,0.18699746270253614
3425,Engerdal,21865.726322953087,2185.6750244823797,0.9950535954193321,0.8038023062530172
4611,Etne,3979.071161907959,397.7437717260213,0.5409419156321691,0.16273117772737417
3450,Etnedal,5719.7082626725405,571.7360270774892,1.2452324499662177,0.21056517280720108
1853,Evenes - Evenášši,217.7407360003067,21.765135146171872,0.08609966828660894,0.012353745078264283
4219,Evje og Hornnes,6729.149844792931,672.6387468009355,1.145755611427829,0.24828821581404378
4206,Farsund,1035.7057456220812,103.52805790598389,0.39428745822441214,0.18262217798731756
1841,Fauske - Fuossko,2198.651557072339,219.7748990751702,0.183607828932121,0.08732185881213594
4633,Fedje,5.985606010932182,0.5983148865607497,0.06454313770881874,0.011140430829506186
