kommune,kommunenummer,lyn_treff,lyn_per_år,andel (%),areal_km2,lyn_per_km2_per_år
Hamar,3403,5027,502.4936371100164,0.18482820389415047,350.93,1.4318913661129467
Hammerfest - Hámmerfeasta,5603,2936,293.47947454844007,0.10794820104102364,2692.83,0.1089855187844907
Haram,1580,1767,176.6274630541872,0.06496746295622913,261.19,0.676241291987393
Hareid,1517,327,32.6865763546798,0.012022841192239349,82.27,0.3973085736560083
Harstad - Hárstták,5503,469,46.88074712643678,0.017243769171743896,445.27000000000004,0.10528611208129175
Hasvik,5616,354,35.385467980295566,0.013015552850314157,555.4300000000001,0.06370824042686848
Haugesund,1106,1305,130.44642857142856,0.04798106347361575,72.67999999999999,1.7948050161176192
Heim,5055,11962,1195.7089490968801,0.43980803162558746,1024.55,1.167057682979728
Hemnes,1832,4557,455.51293103448273,0.16754766762395937,1589.5,0.286576238461455
Hemsedal,3326,8491,848.7514367816092,0.3121894329153037,753.51,1.1263970442085827
Herøy,1515,1146,114.55295566502463,0.04213509482050854,119.53,0.9583615465993861
Herøy,1818,1996,199.51806239737274,0.07338712850064141,64.46,3.095222811004852
Hitra,5056,4152,415.02955665024626,0.15265699275283723,755.89,0.5490607848367438
Hjartdal,4024,7988,798.4720853858785,0.29369558239635446,791.61,1.008668517812911
Hjelmeland,1133,6771,676.8220443349753,0.24895002358609367,1068.08,0.6336810391871165
Hol,3330,10115,1011.0847701149424,0.371899200793581,1854.54,0.5451943717120916
Hole,3310,5148,514.5886699507389,0.1892770228062635,192.68,2.6706906266905692
Holmestrand,3903,13065,1305.963669950739,0.4803621412128657,432.35,3.0206167918370275
Holtålen,5026,10347,1034.2752463054187,0.38042916763333495,1209.58,0.8550697318948881
Horten,3901,2604,260.2931034482759,0.0957415243565482,70.95,3.668683628587398
Hurdal,3242,6325,632.2403530377668,0.2325518976786357,284.95,2.2187764626698256
Hustadvika,1579,2560,255.89490968801312,0.09412377202487074,521.9300000000001,0.490285880650687
Hvaler,3110,8199,819.5634236453202,0.30145344016871684,90.11,9.095143975644437
Hyllestad,4637,1600,159.9343185550082,0.05882735751554421,258.90000000000003,0.6177455332368025
Hábmer - Hamarøy,1875,2499,249.79741379310343,0.09188097901959061,2020.4399999999998,0.12363515560625579
Hå,1119,5210,520.7861247947454,0.19155658290999084,258.0,2.018550871297463
Hægebostad,4226,5477,547.4751642036125,0.20137339819539726,461.32,1.186757921190524
Høyanger,4638,6131,612.8483169129721,0.22541908057987597,1000.92,0.6122850146994486
Høylandet,5046,4478,447.6161740558292,0.16464306684662935,754.68,0.5931204935281567
Ibestad,5514,225,22.49076354679803,0.008272597150623404,241.15,0.09326462179887218
Inderøy,5053,3734,373.2467159277504,0.1372883456019013,365.67,1.0207200916885455
Indre Fosen,5054,6552,654.9310344827586,0.24089802902615357,1095.97,0.5975811696330726
Indre Østfold,3118,18800,1879.2282430213463,0.6912214508076444,791.76,2.373482170129012
Iveland,4218,3333,333.16317733990144,0.12254473912456804,261.63,1.2734135127466324
Jevnaker,3236,5422,541.977422003284,0.19935120778080045,225.71,2.401211386306694
Karlsøy,5534,1118,111.75410509031198,0.041105616063986515,1091.6,0.10237642459720776
Karmøy,1149,5258,525.5841543513957,0.19332140363545716,230.01000000000002,2.2850491472170584
Kinn,4602,6633,663.0277093596059,0.24387616400037798,811.86,0.816677394328586
Klepp,1120,3334,333.26313628899834,0.12258150622301525,113.47999999999999,2.9367565763923014
Kongsberg,3303,12859,1285.3721264367816,0.47278811893273937,793.0899999999999,1.6207140758763592
Kongsvinger,3401,22433,2242.379105090312,0.824796319466377,1036.45,2.163518843253714
Kragerø,4014,11457,1145.2296798029556,0.4212406469097437,305.46999999999997,3.7490741473891243
Kristiansand,4204,11887,1188.212027914614,0.43705049924204625,644.62,1.843275151119441
Kristiansund,1505,850,84.9651067323481,0.031252033680132865,87.44,0.9716960971220049
Krødsherad,3318,7772,776.8809523809523,0.285753889131756,374.48,2.0745592618589836
Kvam,4622,6874,687.117816091954,0.25273703472615683,616.9499999999999,1.1137333918339476
Kvinesdal,4227,9358,935.4158456486042,0.3440665072690392,963.21,0.9711442423236928
Kvinnherad,4617,8216,821.2627257799671,0.3020784808423195,1090.74,0.7529408711333289
Kviteseid,4028,9184,918.0229885057471,0.3376690321392238,708.4699999999999,1.2957824445717492
Kvitsøy,1144,2035,203.41646141215105,0.0748210453400828,6.279999999999999,32.39115627582024
Kvæfjord,5510,239,23.89018883415435,0.008787336528884417,512.62,0.046604090425957534
Kvænangen,5546,7804,780.0796387520525,0.2869304362820669,2109.68,0.3697620675894223
Kárášjohka - Karasjok,5610,50302,5028.135057471264,1.8494585860918153,5452.94,0.9220961641740537
Larvik,3909,20768,2075.9474548440066,0.7635791005517639,812.88,2.5538178511514698
Lebesby,5624,9723,971.9008620689655,0.3574864982022727,3460.5,0.2808556168383082
Leirfjord,1822,1044,104.35714285714285,0.0383848507788926,465.26,0.22429854889124973
Leka,5052,3154,315.27052545155993,0.11596342850251652,110.12,2.8629724432579
Lesja,3432,11228,1122.33908045977,0.41282098136533146,2259.49,0.49672230479434304
Levanger,5037,4957,495.4965106732348,0.1822545070028454,645.8,0.767260004139416
Lier,3312,6469,646.6344417077175,0.2378463598550347,301.83,2.142379623323452
Lierne,5042,15830,1582.3501642036124,0.5820231684194156,2961.7,0.5342709133955541
Lillehammer,3405,4726,472.4059934318555,0.1737613072615387,477.94000000000005,0.9884211269863487
Lillesand,4215,9581,957.7066912972085,0.35226557022276817,190.31,5.032350855431709
Lillestrøm,3205,12430,1242.48973727422,0.4570150336988841,456.6,2.721177698804687
Lindesnes,4205,11948,1194.3095238095239,0.4392932922473264,933.56,1.279306658178932
Loabák - Lavangen,5518,499,49.879515599343186,0.018346782125160353,301.62,0.16537204296579533
Lom,3434,6144,614.1477832512315,0.22589705285968975,1968.55,0.31197977356492423
Loppa,5614,1068,106.75615763546797,0.039267261141625764,689.2700000000001,0.1548829306882179
Lund,1112,3675,367.3491379310345,0.13511908679351559,408.39,0.8995057125077365
Lunner,3234,6887,688.4172824302134,0.2532150070059706,291.84000000000003,2.358885973239492
Lurøy,1834,1635,163.432881773399,0.060114205961196744,265.18,0.616309230610902
Luster,4644,5885,588.2584154351396,0.21637437436186102,2706.3500000000004,0.2173622833096752
Lyngdal,4225,7282,727.9010673234811,0.26773801089262056,642.79,1.1324088229802598
Lyngen,5536,1511,151.03797208538586,0.055555085753742066,812.7,0.18584714173174094
Lærdal,4642,5292,528.9827586206897,0.19457148498266247,1342.52,0.39402225562426607
Lødingen,1851,522,52.17857142857142,0.0191924253894463,527.41,0.09893360275415981
Lørenskog,3222,1910,190.92159277504103,0.0702251580341809,70.53999999999999,2.7065720552174803
Løten,3412,6049,604.6516830870279,0.22240417850720434,369.44,1.6366708615391616
Malvik,5031,1220,121.94991789819376,0.04485586010560246,168.43,0.724039172939463
Marker,3122,6954,695.1145320197044,0.25567840260193403,412.9,1.6834936595294367
Masfjorden,4634,5370,536.7795566502463,0.19743931866154527,556.08,0.9652919663542049
Melhus,5028,7459,745.5938013136289,0.2742457873177777,694.4100000000001,1.0737083298247847
Meløy,1837,1905,190.42179802955664,0.07004132254194483,873.84,0.21791380347610162
Meråker,5034,12394,1238.8912151067323,0.4556914181547843,1273.94,0.9724878841285557
Midt-Telemark,4020,8978,897.4314449917898,0.33009500985909745,518.51,1.7307890783047382
Midtre Gauldal,5027,24097,2408.7107963875205,0.885976771282543,1860.43,1.2947064906433032
Modalen,4629,4428,442.6182266009852,0.1628047119242686,411.97999999999996,1.0743682377809245
Modum,3316,11396,1139.132183908046,0.41899785390446365,517.24,2.2023280950971427
Molde,1506,9185,918.1229474548439,0.33770579923767097,1503.3600000000001,0.6107139656867576
Moskenes,1874,838,83.76559934318554,0.030810828498766277,118.78,0.7052163608619763
Moss,3103,4731,472.9057881773399,0.17394514275377476,137.77,3.4325744950086365
Målselv,5524,10532,1052.7676518883416,0.3872310808460698,3324.4500000000003,0.31667423239583736
Måsøy,5618,1616,161.53366174055827,0.05941563109069965,1137.19,0.14204632624324717
Namsos - Nåavmesjenjaelmie,5007,14619,1461.2998768472905,0.537498212199838,2132.36,0.685296984021127
Namsskogan,5044,7705,770.1837027914614,0.2832904935357926,1417.1499999999999,0.5434736638968786
Nannestad,3238,10922,1091.7516420361248,0.4015702492404837,340.98,3.2018055077603518
Narvik,1806,4350,434.82142857142856,0.15993687824538583,3432.2,0.1266888376468238
Nes,3228,23395,2338.5396141215106,0.8601662681725981,640.76,3.6496342064447074
Nesbyen,3322,7388,738.4967159277504,0.2716353233280254,809.63,0.9121409976504705
Nesna,1828,755,75.4690065681445,0.02775915932764742,183.19,0.41197121332029313
Nesodden,3212,2370,236.9027093596059,0.08713802331989985,61.47,3.8539565537596534
Nissedal,4030,13513,1350.7452791461412,0.49683380131721805,905.17,1.4922559067867265
Nittedal,3232,6188,618.5459770114942,0.22751480519136724,186.22,3.321587246329579
Nome,4018,8345,834.1574302134646,0.3068214365420103,429.67,1.9413909051445635
Nord-Aurdal,3451,10023,1001.8885467980296,0.36851662773643723,906.47,1.1052638772359036
Nord-Fron,3436,8111,810.7670361247947,0.29821793550536196,1141.32,0.7103766131538873
Nord-Odal,3414,14432,1442.607553366174,0.5306227647902088,508.14,2.838996247817873
Nordkapp,5620,1980,197.91871921182266,0.07279885492548596,926.59,0.2135990235290934
Nordre Follo,3207,5320,531.7816091954023,0.19560096373918448,202.99,2.619742889774877
Nordre Land,3448,12551,1254.5847701149426,0.46146385261099715,955.32,1.313261284297348
Nordreisa - Ráisa - Raisi,5544,20305,2029.666461412151,0.7465559339707033,3437.77,0.5904020517405617
Nore og Uvdal,3338,16029,1602.2419950738915,0.5893398210104113,2502.16,0.6403435412099513
Notodden,4005,14847,1484.0905172413793,0.545881110645803,983.89,1.5083906912778657
Nærøysund,5060,12029,1202.406198686371,0.44227142722155083,1346.1999999999998,0.8931854098101109
Oppdal,5021,20537,2052.856937602627,0.7550859008104571,2274.1099999999997,0.9027078450922019
Orkland,5059,28464,2845.231527093596,1.0465386902015315,1906.28,1.492556983808043
Os,3430,10120,1011.5845648604269,0.3720830362858171,1040.4,0.9723035033260542
Osen,5020,4284,428.2241379310345,0.15751024974786962,387.1,1.1062364710179138
Oslo,0301,13746,1374.0357142857142,0.5054005352554192,454.12,3.025710636584414
Osterøy,4630,3077,307.57368637110017,0.11313236192208097,255.10999999999999,1.205651234256204
Overhalla,5047,5240,523.7848932676519,0.19265959586340728,730.0500000000001,0.7174644110234256
Porsanger - Porsáŋgu - Porsanki,5622,16320,1631.3300492610838,0.6000390466585509,4874.29,0.33468054819493376
Porsgrunn,4001,3781,377.94478653530376,0.13901639922892042,164.44,2.298375009336559
Raarvihke - Røyrvik,5043,7222,721.9035303776683,0.2655319849857877,1584.7399999999998,0.4555343654969701
Rakkestad,3120,7758,775.481527093596,0.285239149753495,434.87,1.7832490792503415
Rana,1833,9917,991.2928981937603,0.3646193153010325,4460.19,0.22225351345878996
Randaberg,1127,869,86.86432676518884,0.03195060855062995,24.72,3.5139290762616846
Rauma,1539,6188,618.5459770114942,0.22751480519136724,1449.26,0.4268012482311622
Rendalen,3424,37776,3776.0492610837437,1.3889139109419988,3179.51,1.1876198725853178
Rennebu,5022,13290,1328.454433497537,0.48863473836348914,947.95,1.4013971554380893
Rindal,5061,17342,1733.4880952380952,0.6376150212716049,631.94,2.7431213330982294
Ringebu,3439,11833,1182.8142446633826,0.43506507592589666,1247.57,0.9480944914220306
Ringerike,3305,37838,3782.2467159277503,1.391193471045726,1555.1000000000001,2.4321565918125843
Ringsaker,3411,13767,1376.1348522167486,0.5061726443228107,1280.09,1.0750297652639649
Risør,4201,5370,536.7795566502463,0.19743931866154527,183.66,2.922680805021487
Rollag,3336,5759,575.6635878489327,0.21174171995751193,449.28,1.2813025014443837
Rosse - Røros,5025,14382,1437.60960591133,0.528784409867848,1956.53,0.7347751406374193
Råde,3112,2962,296.07840722495894,0.10890414560065123,118.76,2.4930819065759424
Rælingen,3224,1753,175.22803776683085,0.06445272357796812,71.67999999999999,2.4445875804524397
Rødøy,1836,2470,246.8986042692939,0.09081473316462138,711.2900000000001,0.3471138414279603
Røst,1856,241,24.09010673234811,0.008860870725778847,10.11,2.3827998746140566
Salangen,5522,961,96.0605500821018,0.03533318160777374,458.07,0.20970714100923832
Saltdal,1840,3927,392.53879310344826,0.1443843956022138,2216.19,0.17712325798033934
Samnanger,4623,4670,466.8082922824302,0.17170234974849466,269.06,1.7349598315707657
Sande,1514,587,58.675903119868636,0.021582286788515283,93.24,0.6292996902602814
Sandefjord,3907,6303,630.0412561576354,0.23174302151279697,422.26,1.4920694741572382
Sandnes,1108,9340,933.6165845648604,0.3434046994969893,1040.6100000000001,0.8971820226260178
Sarpsborg,3105,11035,1103.0470032840722,0.40572493136501897,405.59999999999997,2.719543893698403
Sauda,1135,2664,266.29064039408865,0.09794755026338112,546.56,0.48721209088496903
Sel,3437,8065,806.1689244663382,0.29652664897679004,905.04,0.8907550212878307
Selbu,5032,10722,1071.7598522167486,0.39421682955104065,1234.8400000000001,0.8679341876006191
Seljord,4022,7191,718.804802955665,0.264392204933924,715.0799999999999,1.005208931805763
Senja,5530,2420,241.90065681444992,0.08897637824226062,1946.1100000000001,0.12429958060667172
Sigdal,3332,15601,1559.4595648604268,0.5736035028750033,842.48,1.8510345229090621
Siljan,4010,5149,514.6886288998357,0.1893137899047107,213.95000000000002,2.4056491184848596
Sirdal,4228,9309,930.5178571428571,0.34226491944512566,1554.28,0.5986809694153287
Skaun,5029,1992,199.11822660098522,0.07324006010685254,224.2,0.8881276833228601
Skien,4003,16436,1642.9252873563219,0.6043040300784279,779.2,2.108477011494253
Skiptvet,3116,2382,238.10221674876846,0.08757922850126644,101.2,2.3527887030510715
Skjervøy,5542,1594,159.33456486042692,0.058606754924860914,474.0,0.3361488710135589
Skjåk,3433,3859,385.74158456486043,0.1418842329078032,2075.5099999999998,0.18585387907784615
Smøla,1573,1750,174.92816091954023,0.06434242228262647,271.91,0.6433311055847163
Snåase - Snåsa,5041,20010,2000.1785714285713,0.7357096399287747,2342.66,0.8538066007993356
Sogndal,4640,5220,521.7857142857142,0.191924253894463,1257.8400000000001,0.41482677787772226
Sokndal,1111,5530,552.7729885057471,0.2033220544130997,294.98,1.873933787055892
Sola,1124,3450,344.8583743842364,0.1268464896428922,69.05,4.994328376310448
Solund,4636,1437,143.64100985221674,0.052834320468648145,228.21,0.6294246959038462
Sortland - Suortá,1870,511,51.07902298850575,0.01878798730652693,721.97,0.07074950896644701
Stad,4649,3533,353.1549671592775,0.12989815881401107,752.78,0.46913436483338755
Stange,3413,12393,1238.7912561576354,0.45565465105633707,724.27,1.7103997903511612
Stavanger,1103,5810,580.7614942528735,0.2136168419783199,262.22,2.21478717966926
Steigen,1848,2563,256.19478653530376,0.09423407332021239,1009.26,0.2538441893419969
Steinkjer,5006,18519,1851.1397783251232,0.6808898961439771,2122.06,0.8723314978488466
Stjørdal,5035,7907,790.3754105090312,0.29071744742213007,938.2700000000001,0.8423752336843671
Stor-Elvdal,3423,23286,2327.6440886699506,0.8561586544418515,2165.77,1.0747420495574094
Stord,4614,1929,192.82081280788177,0.07092373290467799,143.72,1.3416421709426787
Storfjord - Omasvuotna - Omasvuono,5538,5206,520.3862889983579,0.19140951451620197,1542.7299999999998,0.3373152068076449
Strand,1130,2617,261.5925697865353,0.09621949663636199,261.79,0.9992458450916203
Stranda,1525,2464,246.29885057471265,0.09059413057393809,865.86,0.284455744086472
Stryn,4651,4065,406.3331280788177,0.1494582551879295,1382.02,0.29401392749657584
Sula,1531,350,34.985632183908045,0.012868484456525296,58.51,0.5979427821553247
Suldal,1134,9216,921.2216748768473,0.3388455792895346,1736.28,0.5305720706780285
Sunndal,1563,11982,1197.7081280788177,0.4405433735945317,1713.37,0.6990364766972795
Sunnfjord,4647,12451,1244.5888752052545,0.4577871427662756,2208.13,0.563639312542855
Surnadal,1566,23064,2305.4532019704434,0.8479963585865699,1366.03,1.687703199761677
Sveio,4612,2312,231.10509031198686,0.08500553160996138,246.15,0.9388790993783743
Sykkylven,1528,853,85.26498357963875,0.03136233497547451,337.8,0.25241262160935096
Sømna,1812,1684,168.33087027914613,0.061915793785110286,195.19,0.8623949499418317
Søndre Land,3447,9590,958.6063218390805,0.3525964741087931,728.35,1.3161341687912136
Sør-Aurdal,3449,12361,1235.5925697865353,0.4544781039060262,1109.05,1.1140999682489836
Sør-Fron,3438,6494,649.1334154351396,0.23876553731621508,742.1999999999999,0.8746071347819181
Sør-Odal,3415,15466,1545.965106732348,0.5686399445846292,516.74,2.9917658914199556
Sør-Varanger,5605,9966,996.1908866995074,0.366420903124946,3971.42,0.25083997328399094
Sørfold,1845,2293,229.20587027914613,0.0843069567394643,1637.42,0.13997988926429755
Sørreisa,5526,635,63.47393267651888,0.02334710751398161,362.97,0.17487377104586846
Time,1121,2099,209.81383415435138,0.07717413964070456,183.18,1.1453970638407653
Tingvoll,1560,2064,206.31527093596057,0.07588729119505203,336.81,0.612556844915414
Tinn,4026,15723,1571.6545566502461,0.5780890888855635,2045.13,0.7684863830906818
Tokke,4034,5884,588.1584564860427,0.2163376072634138,984.5799999999999,0.5973699003494309
Tolga,3426,11828,1182.3144499178982,0.43488124043366055,1122.56,1.053230517672016
Tromsø,5501,3208,320.6683087027914,0.11794885181866613,2520.7999999999997,0.1272089450582321
Trondheim - Tråante,5001,4407,440.51908866995075,0.1620326028568771,528.6,0.8333694450812538
Trysil,3421,37537,3752.1590722495894,1.3801265744131144,3014.4,1.244744915157109
Træna,1835,775,77.4681855500821,0.02849450129659173,16.54,4.683687155385859
Tvedestrand,4213,7312,730.8998357963875,0.26884102384603703,224.35,3.2578552966186205
Tydal,5033,8472,846.8522167487685,0.3114908580448066,1328.6399999999999,0.6373827498410167
Tynset,3427,15756,1574.9532019704434,0.5793024031343216,1880.26,0.8376252230917232
Tysnes,4616,2982,298.0775862068965,0.10963948756959553,255.12,1.1683818838464115
Tysvær,1146,5070,506.79187192118223,0.18640918912738072,425.53000000000003,1.1909662583629408
Tønsberg,3905,7358,735.4979474548439,0.27053231037460895,329.26,2.233790765519176
Ullensaker,3209,8196,819.2635467980296,0.3013431388733752,252.44,3.245379285366937
Ullensvang,4618,11962,1195.7089490968801,0.43980803162558746,3229.8999999999996,0.37019999043217444
Ulstein,1516,454,45.38136288998358,0.016692262695035667,97.19999999999999,0.4668864494854278
Ulvik,4620,3233,323.16728243021345,0.11886802927984652,722.0,0.4476001141692707
Unjárga - Nesseby,5636,2732,273.08784893267654,0.10044771295779173,1437.19,0.1900151329557515
Utsira,1151,3313,331.16399835796386,0.12180939715562374,6.289999999999999,52.64928431764132
Vadsø,5607,1821,182.0252463054187,0.06695288627237876,1258.06,0.14468725363290996
Vaksdal,4628,9559,955.5075944170771,0.3514566940569295,715.37,1.3356830652907965
Valle,4221,6185,618.2461001642035,0.22740450389602557,1265.26,0.4886316647678766
Vang,3454,13242,1323.6564039408865,0.4868699176380228,1504.8400000000001,0.8795994284713899
