dato,timestamp,lat,lon
2017-07-27,2017-07-27 00:03:50,58.2963,16.8248
2017-07-27,2017-07-27 00:22:19,67.2718,25.7006
2017-07-27,2017-07-27 00:31:29,67.3446,25.7145
2017-07-27,2017-07-27 00:43:57,67.2732,25.7593
2017-07-27,2017-07-27 00:43:57,67.279,25.7325
2017-07-27,2017-07-27 00:44:14,61.9209,18.2887
2017-07-27,2017-07-27 01:11:14,67.256,25.6928
2017-07-27,2017-07-27 01:12:38,67.3051,25.6455
2017-07-27,2017-07-27 01:14:10,67.2702,25.4851
2017-07-27,2017-07-27 01:16:43,67.3115,25.9486
2017-07-27,2017-07-27 01:20:03,67.2073,25.7891
2017-07-27,2017-07-27 01:20:03,67.2978,25.7346
2017-07-27,2017-07-27 01:20:03,67.2216,25.6582
2017-07-27,2017-07-27 01:20:03,67.2697,25.7519
2017-07-27,2017-07-27 01:29:39,67.4092,26.1805
2017-07-27,2017-07-27 01:29:39,67.2595,25.7888
2017-07-27,2017-07-27 01:31:40,66.0125,10.3872
2017-07-27,2017-07-27 01:31:58,67.2791,25.7626
2017-07-27,2017-07-27 01:35:14,67.1876,25.5637
2017-07-27,2017-07-27 01:35:14,67.3017,25.7891
2017-07-27,2017-07-27 01:35:14,67.2309,25.7561
2017-07-27,2017-07-27 01:35:14,67.2673,25.86
2017-07-27,2017-07-27 04:16:34,67.9749,26.0147
2017-07-27,2017-07-27 04:16:34,67.9308,25.9138
2017-07-27,2017-07-27 04:36:39,57.9394,6.0809
2017-07-27,2017-07-27 04:44:11,57.923,6.1792
2017-07-27,2017-07-27 05:37:05,58.1256,6.4394
2017-07-27,2017-07-27 07:33:57,68.2524,26.2061
2017-07-27,2017-07-27 07:33:57,68.2626,26.2075
2017-07-27,2017-07-27 07:41:17,68.1582,26.9072
2017-07-27,2017-07-27 07:41:17,68.2283,26.1763
2017-07-27,2017-07-27 07:43:50,67.8575,25.3003
2017-07-27,2017-07-27 07:43:50,67.8263,25.3253
2017-07-27,2017-07-27 07:44:51,68.3664,26.2697
2017-07-27,2017-07-27 07:45:36,67.8505,25.3841
2017-07-27,2017-07-27 07:47:56,67.8339,25.3874
2017-07-27,2017-07-27 07:47:56,67.8388,25.3582
2017-07-27,2017-07-27 07:47:57,67.8716,25.4283
2017-07-27,2017-07-27 07:49:23,67.2954,25.1186
2017-07-27,2017-07-27 07:49:25,67.7657,25.2697
2017-07-27,2017-07-27 07:50:43,67.8504,25.3959
2017-07-27,2017-07-27 07:52:16,67.8065,25.3702
2017-07-27,2017-07-27 07:52:16,67.8509,25.4407
2017-07-27,2017-07-27 07:52:16,67.8609,25.431
2017-07-27,2017-07-27 07:52:16,68.1142,25.6559
2017-07-27,2017-07-27 07:54:46,67.8575,25.5574
2017-07-27,2017-07-27 07:54:46,67.8256,25.3719
2017-07-27,2017-07-27 07:54:46,67.8502,25.4058
2017-07-27,2017-07-27 07:55:58,67.8781,25.4871
2017-07-27,2017-07-27 07:56:54,67.8684,25.5846
2017-07-27,2017-07-27 07:56:54,67.8666,25.4125
2017-07-27,2017-07-27 07:58:14,67.8389,25.4025
2017-07-27,2017-07-27 07:58:14,67.8465,25.4215
2017-07-27,2017-07-27 08:00:20,67.8505,25.4612
2017-07-27,2017-07-27 08:00:20,67.8524,25.4519
2017-07-27,2017-07-27 08:00:20,67.8413,25.4243
2017-07-27,2017-07-27 08:03:27,67.9394,25.1792
2017-07-27,2017-07-27 08:03:27,67.8464,25.5048
2017-07-27,2017-07-27 08:03:27,67.8459,25.5178
2017-07-27,2017-07-27 08:03:27,67.8516,25.4417
