dato,timestamp,lat,lon,kommune
2008-12-19,2008-12-19 00:19:01,62.6042,6.5258,Haram
2008-12-19,2008-12-19 00:19:02,62.7392,6.6662,Midsund
2008-12-19,2008-12-19 00:20:59,63.8612,9.7383,Bjugn
2008-12-19,2008-12-19 00:52:16,59.6997,6.2527,Etne
2008-12-19,2008-12-19 00:56:30,60.2,5.5649,Os
2008-12-19,2008-12-19 00:59:21,61.231,5.2856,Hyllestad
2008-12-19,2008-12-19 01:12:43,63.8756,9.6824,Bjugn
2008-12-19,2008-12-19 01:27:22,62.8965,10.9805,Holtålen
2008-12-19,2008-12-19 01:29:44,63.777,10.9732,Inderøy
2008-12-19,2008-12-19 02:30:26,67.8982,15.4282,Steigen
2008-12-19,2008-12-19 02:35:40,67.6487,14.7529,Steigen
2008-12-19,2008-12-19 02:42:11,63.1522,8.4758,Aure
2008-12-19,2008-12-19 02:48:14,60.7639,5.2653,Masfjorden
2008-12-19,2008-12-19 03:03:48,61.9723,5.122,Vågsøy
2008-12-19,2008-12-19 03:31:42,63.8857,10.1077,Åfjord
2008-12-19,2008-12-19 03:32:19,59.1698,7.3455,Valle
2008-12-19,2008-12-19 03:51:21,66.2255,12.995,Nesna
2008-12-19,2008-12-19 03:51:21,65.0838,12.7804,Bindal
2008-12-19,2008-12-19 04:57:34,65.6966,12.3554,Vevelstad
2008-12-19,2008-12-19 05:19:18,60.2282,5.5004,Os
2008-12-19,2008-12-19 05:39:54,60.2998,5.6527,Fusa
2008-12-19,2008-12-19 05:44:53,66.3716,12.9781,Lurøy
2008-12-19,2008-12-19 06:04:31,65.6102,12.3892,Vevelstad
2008-12-19,2008-12-19 07:06:29,65.5765,12.4521,Vevelstad
2008-12-19,2008-12-19 07:52:46,61.6189,5.176,Flora
2008-12-19,2008-12-19 08:58:35,61.8756,5.1138,Bremanger
2008-12-19,2008-12-19 09:13:17,66.3209,13.013,Lurøy
2008-12-19,2008-12-19 09:22:49,61.6615,5.2189,Flora
2008-12-19,2008-12-19 09:44:56,61.2458,5.3807,Fjaler
2008-12-19,2008-12-19 23:17:56,58.783,8.5048,Åmli
2008-12-19,2008-12-19 23:17:56,58.7793,8.7202,Vegårshei
