dato,timestamp,lat,lon,kommune
2014-01-11,2014-01-11 20:58:47,60.1071,5.2812,Austevoll
2014-01-11,2014-01-11 21:23:12,60.0499,5.882,Kvinnherad
2014-01-11,2014-01-11 21:23:12,60.0387,5.2862,Austevoll
2014-01-11,2014-01-11 21:28:01,58.942,5.968,Sandnes
2014-01-11,2014-01-11 21:36:00,60.0008,5.5435,Tysnes
2014-01-11,2014-01-11 21:36:00,59.9797,5.5605,Tysnes
2014-01-11,2014-01-11 21:36:57,59.9866,5.5402,Tysnes
2014-01-11,2014-01-11 21:36:57,59.9761,5.5496,Tysnes
2014-01-11,2014-01-11 21:36:57,59.8461,5.5853,Stord
2014-01-11,2014-01-11 23:43:28,58.9089,6.4607,Gjesdal
