dato,timestamp,lat,lon
2024-02-03,2024-02-03 01:36:54,62.0337,4.5738
2024-02-03,2024-02-03 01:39:05,62.0365,4.5872
2024-02-03,2024-02-03 01:39:05,62.045,4.6036
2024-02-03,2024-02-03 01:39:05,62.0584,4.5492
2024-02-03,2024-02-03 01:39:05,62.0361,4.5877
2024-02-03,2024-02-03 01:39:05,62.0381,4.5849
2024-02-03,2024-02-03 01:39:05,62.0364,4.586
2024-02-03,2024-02-03 01:39:05,62.0362,4.5895
2024-02-03,2024-02-03 01:42:45,61.9894,4.653
2024-02-03,2024-02-03 01:42:45,62.0348,4.6589
2024-02-03,2024-02-03 01:44:53,61.9728,4.6516
2024-02-03,2024-02-03 01:44:53,61.9959,4.6975
2024-02-03,2024-02-03 01:44:53,61.9738,4.6366
2024-02-03,2024-02-03 01:44:53,61.9665,4.6859
2024-02-03,2024-02-03 01:44:54,62.027,4.7512
2024-02-03,2024-02-03 01:46:35,61.9784,4.7037
2024-02-03,2024-02-03 01:46:35,61.9714,4.647
2024-02-03,2024-02-03 01:46:35,61.983,4.6791
2024-02-03,2024-02-03 01:46:35,61.9627,4.6804
2024-02-03,2024-02-03 01:46:35,61.971,4.685
2024-02-03,2024-02-03 01:46:35,61.9447,4.7346
2024-02-03,2024-02-03 01:48:06,61.9631,4.676
2024-02-03,2024-02-03 01:48:06,61.9593,4.7096
2024-02-03,2024-02-03 01:48:06,61.9401,4.6579
2024-02-03,2024-02-03 01:48:06,61.9617,4.7014
2024-02-03,2024-02-03 01:48:06,61.9579,4.7054
2024-02-03,2024-02-03 01:50:08,61.9585,4.797
2024-02-03,2024-02-03 01:50:08,62.0234,4.8824
2024-02-03,2024-02-03 01:50:08,61.9823,4.8203
2024-02-03,2024-02-03 01:50:08,61.9951,4.8136
2024-02-03,2024-02-03 01:50:08,61.9467,5.0152
2024-02-03,2024-02-03 01:50:08,61.9917,4.8561
2024-02-03,2024-02-03 01:55:40,61.9312,4.7991
2024-02-03,2024-02-03 01:55:40,61.9286,4.9314
2024-02-03,2024-02-03 01:55:40,61.974,4.9507
2024-02-03,2024-02-03 01:55:40,61.9539,4.9984
2024-02-03,2024-02-03 01:55:40,61.9677,4.9053
2024-02-03,2024-02-03 01:55:40,61.9564,4.9785
2024-02-03,2024-02-03 01:57:07,61.9471,5.2254
2024-02-03,2024-02-03 01:57:07,61.9722,4.9951
2024-02-03,2024-02-03 01:58:28,61.9791,4.953
2024-02-03,2024-02-03 01:58:28,61.9712,4.982
2024-02-03,2024-02-03 01:58:28,61.9612,4.972
2024-02-03,2024-02-03 02:06:22,61.9059,4.9902
2024-02-03,2024-02-03 02:13:39,63.9186,10.1726
2024-02-03,2024-02-03 02:13:39,63.9498,10.1696
2024-02-03,2024-02-03 02:13:39,63.9169,10.2007
2024-02-03,2024-02-03 03:18:18,62.0663,4.5004
2024-02-03,2024-02-03 03:18:18,62.0581,4.5333
2024-02-03,2024-02-03 03:18:18,62.0641,4.5286
2024-02-03,2024-02-03 03:24:35,61.5991,5.2745
2024-02-03,2024-02-03 03:24:35,62.0442,4.6592
2024-02-03,2024-02-03 03:24:35,62.0534,4.6304
2024-02-03,2024-02-03 03:24:35,62.1332,4.8586
2024-02-03,2024-02-03 03:27:38,60.2464,5.7497
2024-02-03,2024-02-03 03:27:38,60.2322,5.7192
