dato,timestamp,lat,lon
2019-02-26,2019-02-26 18:45:40,68.4823,11.2438
2019-02-26,2019-02-26 18:47:16,68.4867,11.2825
2019-02-26,2019-02-26 18:48:25,68.4996,11.3134
2019-02-26,2019-02-26 18:51:58,68.5141,11.366
2019-02-26,2019-02-26 18:51:58,68.5015,11.4318
2019-02-26,2019-02-26 18:59:05,68.5718,11.7011
2019-02-26,2019-02-26 18:59:05,68.5236,12.2376
2019-02-26,2019-02-26 18:59:05,68.5715,11.7912
2019-02-26,2019-02-26 19:01:35,68.5825,11.7949
2019-02-26,2019-02-26 19:01:35,68.5806,11.7902
2019-02-26,2019-02-26 19:02:48,68.581,11.548
2019-02-26,2019-02-26 19:18:42,68.6066,12.4149
2019-02-26,2019-02-26 19:20:51,68.6207,12.4472
2019-02-26,2019-02-26 19:24:58,68.6013,12.4309
2019-02-26,2019-02-26 19:24:58,68.6014,12.4397
2019-02-26,2019-02-26 19:43:39,68.6464,13.0143
2019-02-26,2019-02-26 20:20:30,68.6893,13.3324
2019-02-26,2019-02-26 20:37:30,70.101,18.6317
2019-02-26,2019-02-26 20:37:30,70.0651,18.6133
2019-02-26,2019-02-26 20:40:50,69.9897,18.3474
2019-02-26,2019-02-26 20:40:50,70.1196,18.6919
2019-02-26,2019-02-26 20:43:37,68.3801,13.6694
2019-02-26,2019-02-26 20:43:37,68.3914,13.8112
2019-02-26,2019-02-26 20:45:32,68.3767,14.0518
2019-02-26,2019-02-26 20:45:37,70.0969,18.8488
2019-02-26,2019-02-26 21:10:09,69.6723,12.5151
2019-02-26,2019-02-26 21:10:09,69.7857,12.3261
2019-02-26,2019-02-26 21:15:10,68.5451,14.8608
2019-02-26,2019-02-26 21:15:10,68.5436,14.8653
2019-02-26,2019-02-26 21:42:47,69.7775,16.5521
2019-02-26,2019-02-26 21:42:47,69.9081,16.1792
2019-02-26,2019-02-26 21:45:52,68.5204,10.733
2019-02-26,2019-02-26 22:43:54,68.1121,14.8768
2019-02-26,2019-02-26 22:44:49,68.1411,14.7008
2019-02-26,2019-02-26 22:44:49,68.1072,14.9193
2019-02-26,2019-02-26 22:47:18,68.1392,15.0484
2019-02-26,2019-02-26 22:48:23,68.1393,15.0203
2019-02-26,2019-02-26 22:48:23,68.1373,15.0823
2019-02-26,2019-02-26 22:49:22,68.1001,14.8611
2019-02-26,2019-02-26 22:49:22,68.074,14.6292
2019-02-26,2019-02-26 22:52:40,68.1033,14.9165
2019-02-26,2019-02-26 22:54:50,68.17,15.1329
2019-02-26,2019-02-26 22:54:50,68.1319,15.0461
2019-02-26,2019-02-26 22:54:50,68.1573,15.201
2019-02-26,2019-02-26 22:56:22,68.1656,15.2572
2019-02-26,2019-02-26 22:57:25,68.1286,15.0526
2019-02-26,2019-02-26 23:54:22,69.416,15.5151
2019-02-26,2019-02-26 23:54:23,69.4834,15.5941
2019-02-26,2019-02-26 23:55:48,69.4215,15.5312
2019-02-26,2019-02-26 23:55:48,69.4042,15.4959
2019-02-26,2019-02-26 23:55:48,69.4554,15.6636
