dato,timestamp,lat,lon,kommune
2014-08-18,2014-08-18 00:02:23,59.332,10.9413,Råde
2014-08-18,2014-08-18 00:05:06,59.3188,10.8801,Råde
2014-08-18,2014-08-18 00:05:06,59.6405,9.9625,Øvre Eiker
2014-08-18,2014-08-18 00:05:06,60.611,9.7733,Sør-Aurdal
2014-08-18,2014-08-18 00:05:06,59.3122,10.851,Råde
2014-08-18,2014-08-18 00:05:06,59.2266,11.2879,Sarpsborg
2014-08-18,2014-08-18 00:05:06,59.3242,10.8455,Råde
2014-08-18,2014-08-18 00:05:06,59.4341,11.3574,Rakkestad
2014-08-18,2014-08-18 00:07:23,60.0062,10.5064,Bærum
2014-08-18,2014-08-18 00:07:23,59.6092,10.7639,Vestby
2014-08-18,2014-08-18 00:08:27,61.7236,9.8205,Nord-Fron
2014-08-18,2014-08-18 00:09:07,59.3297,10.888,Råde
2014-08-18,2014-08-18 00:10:50,59.252,10.8221,Fredrikstad
2014-08-18,2014-08-18 00:13:26,58.7399,8.5116,Åmli
2014-08-18,2014-08-18 00:17:06,59.3634,10.8894,Råde
2014-08-18,2014-08-18 00:17:06,59.1473,11.1397,Sarpsborg
2014-08-18,2014-08-18 00:17:06,59.5143,10.7426,Vestby
2014-08-18,2014-08-18 00:17:06,59.8966,10.6308,Bærum
2014-08-18,2014-08-18 00:17:06,59.318,11.0317,Sarpsborg
2014-08-18,2014-08-18 00:20:11,59.3667,10.9227,Råde
2014-08-18,2014-08-18 00:23:52,59.7359,10.813,Ski
2014-08-18,2014-08-18 00:23:52,59.495,11.5024,Eidsberg
2014-08-18,2014-08-18 00:23:52,59.3995,10.9485,Våler
2014-08-18,2014-08-18 00:23:52,59.4497,11.1405,Skiptvet
2014-08-18,2014-08-18 00:23:52,59.2809,9.5545,Skien
2014-08-18,2014-08-18 00:25:37,61.2311,10.6634,Øyer
2014-08-18,2014-08-18 00:25:37,59.1939,9.4178,Skien
2014-08-18,2014-08-18 00:25:37,59.4486,11.1223,Skiptvet
2014-08-18,2014-08-18 00:25:37,59.4253,10.9947,Våler
