dato,timestamp,lat,lon,kommune
2012-07-10,2012-07-10 11:48:28,59.1692,10.9965,Fredrikstad
2012-07-10,2012-07-10 12:20:50,59.2594,11.2214,Sarpsborg
2012-07-10,2012-07-10 13:53:15,59.7771,9.5492,Flesberg
2012-07-10,2012-07-10 13:56:34,65.6553,12.5682,Vevelstad
2012-07-10,2012-07-10 13:58:15,59.618,8.2736,Seljord
2012-07-10,2012-07-10 13:58:15,59.8272,9.6591,Flesberg
2012-07-10,2012-07-10 14:17:46,59.8943,9.8678,Modum
2012-07-10,2012-07-10 14:17:46,59.9001,9.8544,Modum
2012-07-10,2012-07-10 14:24:12,59.8753,9.9562,Modum
2012-07-10,2012-07-10 14:24:12,59.8881,9.9221,Modum
2012-07-10,2012-07-10 14:30:52,59.8755,9.7818,Øvre Eiker
2012-07-10,2012-07-10 14:30:52,59.8954,9.8866,Modum
2012-07-10,2012-07-10 14:47:24,59.804,9.6891,Flesberg
2012-07-10,2012-07-10 14:47:24,59.8051,9.691,Flesberg
2012-07-10,2012-07-10 14:48:58,59.8333,9.7516,Øvre Eiker
2012-07-10,2012-07-10 14:51:11,59.8231,9.7383,Øvre Eiker
2012-07-10,2012-07-10 14:51:11,59.8073,9.7043,Flesberg
2012-07-10,2012-07-10 14:56:12,59.8989,9.6415,Flesberg
2012-07-10,2012-07-10 14:58:58,59.8176,9.6049,Flesberg
2012-07-10,2012-07-10 14:58:58,59.8396,9.7505,Øvre Eiker
2012-07-10,2012-07-10 14:58:58,59.8482,9.7078,Flesberg
2012-07-10,2012-07-10 14:58:58,59.8591,9.7462,Øvre Eiker
2012-07-10,2012-07-10 15:10:02,59.8361,9.7451,Øvre Eiker
2012-07-10,2012-07-10 15:11:51,59.8435,9.7421,Øvre Eiker
2012-07-10,2012-07-10 15:11:51,59.8415,9.7247,Øvre Eiker
2012-07-10,2012-07-10 15:11:51,59.7987,9.5805,Flesberg
2012-07-10,2012-07-10 15:11:51,59.8344,9.7364,Øvre Eiker
2012-07-10,2012-07-10 15:17:48,59.8263,9.7176,Øvre Eiker
2012-07-10,2012-07-10 15:17:48,60.1123,9.5014,Sigdal
2012-07-10,2012-07-10 15:24:48,59.9007,9.7224,Sigdal
2012-07-10,2012-07-10 15:24:48,59.8986,9.7221,Øvre Eiker
2012-07-10,2012-07-10 15:24:48,59.8985,9.7233,Øvre Eiker
2012-07-10,2012-07-10 15:24:48,59.9012,9.6978,Flesberg
2012-07-10,2012-07-10 15:32:11,59.9699,9.9206,Modum
2012-07-10,2012-07-10 16:46:35,59.8603,9.9443,Øvre Eiker
2012-07-10,2012-07-10 16:47:01,60.9293,7.7834,Lærdal
2012-07-10,2012-07-10 16:47:01,61.4158,8.3829,Vang
2012-07-10,2012-07-10 16:47:01,61.1541,8.5033,Vang
2012-07-10,2012-07-10 16:47:01,61.2027,8.5338,Vang
2012-07-10,2012-07-10 16:47:01,61.1777,8.6183,Vang
2012-07-10,2012-07-10 16:47:01,61.2035,8.5946,Vang
2012-07-10,2012-07-10 17:11:08,59.7938,10.1081,Drammen
2012-07-10,2012-07-10 17:11:08,59.8057,10.2043,Lier
2012-07-10,2012-07-10 17:11:08,59.5683,10.1352,Hof
