dato,timestamp,lat,lon,kommune
2014-12-25,2014-12-25 00:02:59,67.2962,14.2813,Bodø
2014-12-25,2014-12-25 00:02:59,67.3,14.2731,Bodø
2014-12-25,2014-12-25 04:16:17,66.8562,13.7877,Meløy
2014-12-25,2014-12-25 04:16:17,66.8489,13.7307,Meløy
2014-12-25,2014-12-25 12:58:41,63.9474,9.859,Åfjord
2014-12-25,2014-12-25 13:13:31,65.0645,12.7285,Bindal
2014-12-25,2014-12-25 13:44:09,65.1362,12.8373,Bindal
2014-12-25,2014-12-25 13:44:09,64.967,12.6184,Bindal
2014-12-25,2014-12-25 15:04:38,64.0831,10.2904,Roan
2014-12-25,2014-12-25 15:04:38,64.0794,10.3101,Roan
2014-12-25,2014-12-25 15:30:06,64.0483,10.0131,Åfjord
2014-12-25,2014-12-25 15:30:06,64.092,10.1899,Roan
2014-12-25,2014-12-25 15:30:06,64.1787,10.1174,Roan
2014-12-25,2014-12-25 15:30:06,64.111,10.0939,Åfjord
2014-12-25,2014-12-25 15:30:06,63.7233,9.7853,Ørland
2014-12-25,2014-12-25 15:30:06,64.137,9.9725,Åfjord
2014-12-25,2014-12-25 15:33:46,64.0368,10.5091,Åfjord
2014-12-25,2014-12-25 15:33:46,63.5873,9.827,Rissa
2014-12-25,2014-12-25 15:33:46,64.0244,10.5506,Åfjord
2014-12-25,2014-12-25 15:33:46,64.0049,10.0233,Åfjord
2014-12-25,2014-12-25 15:36:46,63.5926,9.8003,Agdenes
2014-12-25,2014-12-25 15:36:46,64.4058,10.5243,Osen
2014-12-25,2014-12-25 15:36:46,64.2727,10.3649,Roan
2014-12-25,2014-12-25 15:36:46,64.0356,10.012,Åfjord
2014-12-25,2014-12-25 15:36:46,64.533,11.1671,Namsos
2014-12-25,2014-12-25 15:38:43,64.0448,10.6505,Åfjord
2014-12-25,2014-12-25 15:38:43,64.0793,10.4442,Åfjord
2014-12-25,2014-12-25 15:38:43,64.0098,10.4138,Åfjord
2014-12-25,2014-12-25 15:38:43,63.9993,10.57,Åfjord
2014-12-25,2014-12-25 15:41:17,64.4651,10.5062,Flatanger
2014-12-25,2014-12-25 15:41:17,64.1502,10.2112,Roan
2014-12-25,2014-12-25 15:41:17,64.2497,10.4225,Osen
2014-12-25,2014-12-25 15:41:17,63.7261,9.9871,Rissa
2014-12-25,2014-12-25 15:41:17,64.3194,10.492,Osen
2014-12-25,2014-12-25 15:41:17,63.9627,10.1037,Åfjord
2014-12-25,2014-12-25 15:41:17,63.4979,9.7012,Agdenes
2014-12-25,2014-12-25 15:41:17,63.6581,10.0362,Rissa
2014-12-25,2014-12-25 15:41:17,63.8071,9.6279,Bjugn
2014-12-25,2014-12-25 15:41:17,63.9769,10.0583,Åfjord
2014-12-25,2014-12-25 15:43:10,63.9857,10.1854,Åfjord
2014-12-25,2014-12-25 15:43:11,64.115,10.1414,Roan
2014-12-25,2014-12-25 15:43:11,63.9795,10.2115,Åfjord
2014-12-25,2014-12-25 15:43:11,62.8055,9.1907,Surnadal
2014-12-25,2014-12-25 15:45:38,63.8189,9.9605,Bjugn
2014-12-25,2014-12-25 15:45:38,63.5066,9.8524,Agdenes
2014-12-25,2014-12-25 15:45:38,64.0795,10.1319,Åfjord
2014-12-25,2014-12-25 15:45:38,63.8105,9.8068,Bjugn
2014-12-25,2014-12-25 15:45:38,63.9915,10.4937,Åfjord
2014-12-25,2014-12-25 15:45:38,63.8307,10.1998,Bjugn
2014-12-25,2014-12-25 15:45:38,63.9794,10.6019,Åfjord
2014-12-25,2014-12-25 15:45:38,64.1156,10.2903,Roan
2014-12-25,2014-12-25 15:45:38,63.9566,10.2246,Åfjord
2014-12-25,2014-12-25 15:47:57,63.4609,8.6006,Hitra
2014-12-25,2014-12-25 15:47:57,63.4957,10.109,Rissa
2014-12-25,2014-12-25 15:47:57,63.9562,10.1876,Åfjord
2014-12-25,2014-12-25 15:47:57,63.9782,10.1411,Åfjord
2014-12-25,2014-12-25 15:47:57,63.9735,10.3565,Åfjord
2014-12-25,2014-12-25 15:50:13,63.9545,10.3213,Åfjord
2014-12-25,2014-12-25 15:50:13,64.5954,10.9913,Flatanger
2014-12-25,2014-12-25 15:50:13,63.9648,10.2917,Åfjord
2014-12-25,2014-12-25 15:52:32,64.0568,10.3162,Åfjord
2014-12-25,2014-12-25 15:52:32,63.932,10.1635,Åfjord
2014-12-25,2014-12-25 15:52:32,64.4732,10.8428,Flatanger
