dato,timestamp,lat,lon
2022-02-03,2022-02-03 22:02:18,61.8752,4.9891
2022-02-03,2022-02-03 22:02:18,61.8742,4.9865
2022-02-03,2022-02-03 22:02:18,61.874,4.9993
2022-02-03,2022-02-03 22:02:18,61.8798,4.9678
2022-02-03,2022-02-03 22:02:18,61.8736,4.9901
2022-02-03,2022-02-03 22:06:32,61.8727,4.9898
2022-02-03,2022-02-03 22:06:32,61.8743,4.9899
2022-02-03,2022-02-03 22:16:49,62.1592,5.2497
2022-02-03,2022-02-03 22:16:49,62.1653,5.2421
2022-02-03,2022-02-03 22:16:50,62.0322,5.1839
2022-02-03,2022-02-03 22:16:50,61.9607,5.1751
2022-02-03,2022-02-03 22:16:50,62.1564,5.2639
2022-02-03,2022-02-03 22:16:50,61.9637,5.1769
2022-02-03,2022-02-03 22:16:50,61.9625,5.1731
2022-02-03,2022-02-03 22:16:50,62.0297,5.2079
2022-02-03,2022-02-03 22:16:50,62.157,5.258
2022-02-03,2022-02-03 22:16:50,61.9583,5.1734
2022-02-03,2022-02-03 22:16:50,61.9558,5.1754
2022-02-03,2022-02-03 22:16:50,62.0331,5.1914
2022-02-03,2022-02-03 22:16:50,62.0358,5.1852
2022-02-03,2022-02-03 22:16:50,62.0363,5.1845
2022-02-03,2022-02-03 22:18:51,61.6705,5.09
2022-02-03,2022-02-03 22:20:32,62.1591,5.2479
2022-02-03,2022-02-03 22:20:32,62.1604,5.2457
2022-02-03,2022-02-03 22:20:32,62.1622,5.2487
2022-02-03,2022-02-03 22:20:47,61.6724,5.0914
2022-02-03,2022-02-03 22:20:47,61.6663,5.0988
2022-02-03,2022-02-03 22:20:47,61.672,5.0883
2022-02-03,2022-02-03 22:20:47,61.6708,5.091
2022-02-03,2022-02-03 22:20:47,61.6689,5.0996
2022-02-03,2022-02-03 22:20:47,61.6691,5.0883
2022-02-03,2022-02-03 22:20:48,61.6506,5.2063
2022-02-03,2022-02-03 22:20:48,61.6691,5.1036
2022-02-03,2022-02-03 22:20:48,61.6698,5.0901
2022-02-03,2022-02-03 22:20:48,61.6488,5.2005
2022-02-03,2022-02-03 22:22:31,61.6714,5.0909
2022-02-03,2022-02-03 22:22:31,61.6718,5.091
2022-02-03,2022-02-03 22:22:31,61.6721,5.0873
2022-02-03,2022-02-03 22:22:31,61.6951,4.8147
2022-02-03,2022-02-03 22:22:31,61.6705,5.0995
2022-02-03,2022-02-03 22:22:31,61.6693,5.0933
2022-02-03,2022-02-03 22:22:31,61.6701,5.0907
2022-02-03,2022-02-03 22:22:31,61.6695,5.0902
2022-02-03,2022-02-03 22:22:31,61.67,5.0954
2022-02-03,2022-02-03 22:25:56,61.5831,5.0984
2022-02-03,2022-02-03 22:25:56,61.5836,5.0985
2022-02-03,2022-02-03 22:25:56,61.583,5.0987
2022-02-03,2022-02-03 22:32:17,61.0341,5.1553
2022-02-03,2022-02-03 22:32:17,61.0315,5.1555
2022-02-03,2022-02-03 22:32:18,61.0323,5.1553
